ID,StationID,MeterTypeID,SerialNumber,StartTime,EndTime,ArrivalTime
28,1,2,SN-0007,2026-08-01T09:13:00,2026-08-01T09:13:39,2026-08-01T09:12:53
29,2,2,SN-0007,2026-08-01T09:15:43,2026-08-01T09:16:44,2026-08-01T09:13:04
30,3,2,SN-0007,2026-08-01T09:19:24,2026-08-01T09:20:30,2026-08-01T09:14:52
31,4,2,SN-0007,2026-08-01T09:23:14,2026-08-01T09:23:51,2026-08-01T09:22:32
32,1,3,SN-0008,2026-08-01T09:24:00,2026-08-01T09:25:06,2026-08-01T09:23:49
33,2,3,SN-0008,2026-08-01T09:26:51,2026-08-01T09:27:14,2026-08-01T09:25:07
34,1,1,SN-0009,2026-08-01T09:39:00,2026-08-01T09:39:43,2026-08-01T09:38:08
35,2,1,SN-0009,2026-08-01T09:40:50,2026-08-01T09:41:31,2026-08-01T09:39:51
36,3,1,SN-0009,2026-08-01T09:44:03,2026-08-01T09:44:38,2026-08-01T09:41:47
37,4,1,SN-0009,2026-08-01T09:46:21,2026-08-01T09:47:12,2026-08-01T09:44:58
38,5,1,SN-0009,2026-08-01T09:49:09,2026-08-01T09:49:56,2026-08-01T09:45:46
39,1,2,SN-0010,2026-08-01T09:51:00,2026-08-01T09:52:07,2026-08-01T09:50:06
40,2,2,SN-0010,2026-08-01T09:53:21,2026-08-01T09:54:25,2026-08-01T09:50:03
41,3,2,SN-0010,2026-08-01T09:55:23,2026-08-01T09:56:01,2026-08-01T09:53:34
42,4,2,SN-0010,2026-08-01T09:57:43,2026-08-01T09:58:23,2026-08-01T09:55:33
43,5,2,SN-0010,2026-08-01T09:59:46,2026-08-01T10:00:14,2026-08-01T09:55:53
44,1,3,SN-0011,2026-08-01T10:02:00,2026-08-01T10:02:50,2026-08-01T10:01:12
45,2,3,SN-0011,2026-08-01T10:04:43,2026-08-01T10:05:06,2026-08-01T10:00:49
46,3,3,SN-0011,2026-08-01T10:05:52,2026-08-01T10:06:41,2026-08-01T10:03:07
47,4,3,SN-0011,2026-08-01T10:09:19,2026-08-01T10:10:00,2026-08-01T10:05:21
48,5,3,SN-0011,2026-08-01T10:11:20,2026-08-01T10:12:08,2026-08-01T10:09:39
49,1,1,SN-0012,2026-08-01T10:14:00,2026-08-01T10:14:38,2026-08-01T10:13:14
50,2,1,SN-0012,2026-08-01T10:17:29,2026-08-01T10:18:35,2026-08-01T10:13:13
51,3,1,SN-0012,2026-08-01T10:20:46,2026-08-01T10:21:51,2026-08-01T10:19:43
52,4,1,SN-0012,2026-08-01T10:23:56,2026-08-01T10:24:36,2026-08-01T10:19:13
53,5,1,SN-0012,2026-08-01T10:25:11,2026-08-01T10:25:47,2026-08-01T10:20:47
54,1,2,SN-0013,2026-08-01T10:28:00,2026-08-01T10:28:22,2026-08-01T10:27:20
55,2,2,SN-0013,2026-08-01T10:30:58,2026-08-01T10:31:46,2026-08-01T10:29:43
56,3,2,SN-0013,2026-08-01T10:34:13,2026-08-01T10:35:09,2026-08-01T10:32:01
57,4,2,SN-0013,2026-08-01T10:37:35,2026-08-01T10:38:33,2026-08-01T10:34:27
58,5,2,SN-0013,2026-08-01T10:41:27,2026-08-01T10:42:34,2026-08-01T10:40:18
59,1,3,SN-0014,2026-08-01T10:39:00,2026-08-01T10:39:40,2026-08-01T10:38:32
60,2,3,SN-0014,2026-08-01T10:40:37,2026-08-01T10:41:31,2026-08-01T10:36:43
61,3,3,SN-0014,2026-08-01T10:42:15,2026-08-01T10:43:08,2026-08-01T10:37:32
62,4,3,SN-0014,2026-08-01T10:43:57,2026-08-01T10:44:53,2026-08-01T10:40:31
63,5,3,SN-0014,2026-08-01T10:46:32,2026-08-01T10:47:18,2026-08-01T10:43:29
64,1,1,SN-0015,2026-08-01T10:51:00,2026-08-01T10:51:31,2026-08-01T10:50:50
65,2,1,SN-0015,2026-08-01T10:52:43,2026-08-01T10:53:48,2026-08-01T10:51:23
66,3,1,SN-0015,2026-08-01T10:56:43,2026-08-01T10:57:14,2026-08-01T10:53:47
67,1,2,SN-0016,2026-08-01T11:01:00,2026-08-01T11:01:28,2026-08-01T11:00:16
68,2,2,SN-0016,2026-08-01T11:02:36,2026-08-01T11:03:10,2026-08-01T10:58:31
69,1,3,SN-0017,2026-08-01T11:15:00,2026-08-01T11:15:34,2026-08-01T11:14:40
70,2,3,SN-0017,2026-08-01T11:16:48,2026-08-01T11:17:35,2026-08-01T11:15:31
71,3,3,SN-0017,2026-08-01T11:19:38,2026-08-01T11:20:00,2026-08-01T11:18:50
72,4,3,SN-0017,2026-08-01T11:20:38,2026-08-01T11:21:44,2026-08-01T11:19:02
73,5,3,SN-0017,2026-08-01T11:22:43,2026-08-01T11:23:46,2026-08-01T11:21:51
74,1,1,SN-0018,2026-08-01T11:26:00,2026-08-01T11:27:09,2026-08-01T11:25:10
75,2,1,SN-0018,2026-08-01T11:28:10,2026-08-01T11:28:52,2026-08-01T11:23:22
76,1,2,SN-0019,2026-08-01T11:36:00,2026-08-01T11:36:37,2026-08-01T11:35:12
77,2,2,SN-0019,2026-08-01T11:38:10,2026-08-01T11:38:53,2026-08-01T11:36:01
78,3,2,SN-0019,2026-08-01T11:41:03,2026-08-01T11:42:09,2026-08-01T11:40:07
79,4,2,SN-0019,2026-08-01T11:42:53,2026-08-01T11:43:43,2026-08-01T11:40:55
80,5,2,SN-0019,2026-08-01T11:46:32,2026-08-01T11:47:20,2026-08-01T11:45:34
81,1,3,SN-0020,2026-08-01T11:52:00,2026-08-01T11:52:28,2026-08-01T11:51:20
82,2,3,SN-0020,2026-08-01T11:55:01,2026-08-01T11:55:57,2026-08-01T11:52:30
83,3,3,SN-0020,2026-08-01T11:56:39,2026-08-01T11:57:18,2026-08-01T11:54:41
84,4,3,SN-0020,2026-08-01T11:59:38,2026-08-01T12:00:40,2026-08-01T11:55:31
85,5,3,SN-0020,2026-08-01T12:01:49,2026-08-01T12:02:18,2026-08-01T11:59:52
86,6,1,SN-0021,2026-08-01T08:01:00,2026-08-01T08:02:02,2026-08-01T08:00:08
87,7,1,SN-0021,2026-08-01T08:04:05,2026-08-01T08:04:56,2026-08-01T08:00:28
88,8,1,SN-0021,2026-08-01T08:06:03,2026-08-01T08:06:40,2026-08-01T08:05:07
89,9,1,SN-0021,2026-08-01T08:09:05,2026-08-01T08:09:49,2026-08-01T08:04:06
90,10,1,SN-0021,2026-08-01T08:10:19,2026-08-01T08:11:29,2026-08-01T08:05:56
91,6,2,SN-0022,2026-08-01T08:14:00,2026-08-01T08:15:00,2026-08-01T08:13:27
92,7,2,SN-0022,2026-08-01T08:17:41,2026-08-01T08:18:24,2026-08-01T08:13:07
93,8,2,SN-0022,2026-08-01T08:20:37,2026-08-01T08:20:58,2026-08-01T08:19:34
94,9,2,SN-0022,2026-08-01T08:23:03,2026-08-01T08:24:05,2026-08-01T08:22:05
95,10,2,SN-0022,2026-08-01T08:26:41,2026-08-01T08:27:47,2026-08-01T08:24:58
96,6,3,SN-0023,2026-08-01T08:25:00,2026-08-01T08:25:34,2026-08-01T08:24:32
97,7,3,SN-0023,2026-08-01T08:27:23,2026-08-01T08:27:57,2026-08-01T08:24:44
98,8,3,SN-0023,2026-08-01T08:29:23,2026-08-01T08:30:07,2026-08-01T08:26:05
99,9,3,SN-0023,2026-08-01T08:32:19,2026-08-01T08:33:09,2026-08-01T08:30:03
100,10,3,SN-0023,2026-08-01T08:34:28,2026-08-01T08:35:25,2026-08-01T08:29:36
101,6,1,SN-0024,2026-08-01T08:39:00,2026-08-01T08:39:47,2026-08-01T08:38:19
102,7,1,SN-0024,2026-08-01T08:42:07,2026-08-01T08:43:11,2026-08-01T08:37:28
103,8,1,SN-0024,2026-08-01T08:44:06,2026-08-01T08:44:55,2026-08-01T08:41:23
104,9,1,SN-0024,2026-08-01T08:45:33,2026-08-01T08:46:14,2026-08-01T08:43:59
105,10,1,SN-0024,2026-08-01T08:47:23,2026-08-01T08:48:26,2026-08-01T08:45:55
106,6,2,SN-0025,2026-08-01T08:51:00,2026-08-01T08:51:49,2026-08-01T08:50:49
107,7,2,SN-0025,2026-08-01T08:53:39,2026-08-01T08:54:12,2026-08-01T08:51:46
108,8,2,SN-0025,2026-08-01T08:55:01,2026-08-01T08:55:40,2026-08-01T08:50:43
109,9,2,SN-0025,2026-08-01T08:56:43,2026-08-01T08:57:07,2026-08-01T08:53:19
110,10,2,SN-0025,2026-08-01T08:59:37,2026-08-01T09:00:42,2026-08-01T08:55:12
111,6,3,SN-0026,2026-08-01T09:01:00,2026-08-01T09:01:57,2026-08-01T09:00:26
112,7,3,SN-0026,2026-08-01T09:03:56,2026-08-01T09:04:33,2026-08-01T09:01:50
113,8,3,SN-0026,2026-08-01T09:05:41,2026-08-01T09:06:49,2026-08-01T09:01:38
114,9,3,SN-0026,2026-08-01T09:08:22,2026-08-01T09:09:31,2026-08-01T09:06:48
115,10,3,SN-0026,2026-08-01T09:10:55,2026-08-01T09:11:56,2026-08-01T09:08:43
116,6,1,SN-0027,2026-08-01T09:16:00,2026-08-01T09:16:39,2026-08-01T09:15:48
117,7,1,SN-0027,2026-08-01T09:18:48,2026-08-01T09:19:27,2026-08-01T09:17:16
118,8,1,SN-0027,2026-08-01T09:21:16,2026-08-01T09:21:53,2026-08-01T09:20:38
119,9,1,SN-0027,2026-08-01T09:24:08,2026-08-01T09:24:32,2026-08-01T09:19:24
120,10,1,SN-0027,2026-08-01T09:26:47,2026-08-01T09:27:15,2026-08-01T09:23:49
121,6,2,SN-0028,2026-08-01T09:26:00,2026-08-01T09:26:44,2026-08-01T09:25:38
122,7,2,SN-0028,2026-08-01T09:27:27,2026-08-01T09:28:08,2026-08-01T09:25:57
123,8,2,SN-0028,2026-08-01T09:30:49,2026-08-01T09:31:39,2026-08-01T09:28:11
124,9,2,SN-0028,2026-08-01T09:34:22,2026-08-01T09:34:50,2026-08-01T09:33:11
125,10,2,SN-0028,2026-08-01T09:36:32,2026-08-01T09:37:12,2026-08-01T09:32:50
126,6,3,SN-0029,2026-08-01T09:40:00,2026-08-01T09:40:44,2026-08-01T09:39:16
127,7,3,SN-0029,2026-08-01T09:43:41,2026-08-01T09:44:46,2026-08-01T09:40:56
128,8,3,SN-0029,2026-08-01T09:47:45,2026-08-01T09:48:17,2026-08-01T09:45:51
129,9,3,SN-0029,2026-08-01T09:50:26,2026-08-01T09:50:54,2026-08-01T09:49:56
130,10,3,SN-0029,2026-08-01T09:51:38,2026-08-01T09:52:10,2026-08-01T09:49:16
131,6,1,SN-0030,2026-08-01T09:49:00,2026-08-01T09:50:05,2026-08-01T09:48:41
132,7,1,SN-0030,2026-08-01T09:51:59,2026-08-01T09:52:47,2026-08-01T09:50:45
133,8,1,SN-0030,2026-08-01T09:53:56,2026-08-01T09:54:19,2026-08-01T09:49:21
134,9,1,SN-0030,2026-08-01T09:55:41,2026-08-01T09:56:19,2026-08-01T09:54:20
135,6,2,SN-0031,2026-08-01T10:01:00,2026-08-01T10:02:04,2026-08-01T10:00:25
136,7,2,SN-0031,2026-08-01T10:03:13,2026-08-01T10:03:36,2026-08-01T09:59:40
137,8,2,SN-0031,2026-08-01T10:05:43,2026-08-01T10:06:39,2026-08-01T10:00:46
138,9,2,SN-0031,2026-08-01T10:07:56,2026-08-01T10:08:58,2026-08-01T10:06:57
139,10,2,SN-0031,2026-08-01T10:10:53,2026-08-01T10:11:48,2026-08-01T10:07:44
140,6,3,SN-0032,2026-08-01T10:15:00,2026-08-01T10:15:35,2026-08-01T10:14:14
141,7,3,SN-0032,2026-08-01T10:16:32,2026-08-01T10:17:33,2026-08-01T10:12:22
142,8,3,SN-0032,2026-08-01T10:19:32,2026-08-01T10:20:10,2026-08-01T10:17:37
143,9,3,SN-0032,2026-08-01T10:21:48,2026-08-01T10:22:54,2026-08-01T10:16:54
144,10,3,SN-0032,2026-08-01T10:23:47,2026-08-01T10:24:39,2026-08-01T10:23:02
145,6,1,SN-0033,2026-08-01T10:28:00,2026-08-01T10:28:27,2026-08-01T10:27:25
146,7,1,SN-0033,2026-08-01T10:31:25,2026-08-01T10:32:02,2026-08-01T10:30:09
147,8,1,SN-0033,2026-08-01T10:32:46,2026-08-01T10:33:31,2026-08-01T10:28:11
148,9,1,SN-0033,2026-08-01T10:36:24,2026-08-01T10:37:20,2026-08-01T10:33:54
149,10,1,SN-0033,2026-08-01T10:39:20,2026-08-01T10:40:08,2026-08-01T10:36:40
150,6,2,SN-0034,2026-08-01T10:39:00,2026-08-01T10:40:05,2026-08-01T10:38:10
151,7,2,SN-0034,2026-08-01T10:40:52,2026-08-01T10:41:40,2026-08-01T10:40:08
152,8,2,SN-0034,2026-08-01T10:44:34,2026-08-01T10:45:40,2026-08-01T10:40:42
153,9,2,SN-0034,2026-08-01T10:46:44,2026-08-01T10:47:41,2026-08-01T10:42:55
154,6,3,SN-0035,2026-08-01T10:51:00,2026-08-01T10:51:37,2026-08-01T10:50:44
155,7,3,SN-0035,2026-08-01T10:54:21,2026-08-01T10:55:03,2026-08-01T10:50:06
156,8,3,SN-0035,2026-08-01T10:57:12,2026-08-01T10:57:52,2026-08-01T10:56:06
157,9,3,SN-0035,2026-08-01T10:59:58,2026-08-01T11:00:52,2026-08-01T10:55:22
158,10,3,SN-0035,2026-08-01T11:03:32,2026-08-01T11:04:36,2026-08-01T10:58:56
159,6,1,SN-0036,2026-08-01T11:02:00,2026-08-01T11:02:42,2026-08-01T11:01:30
160,7,1,SN-0036,2026-08-01T11:03:14,2026-08-01T11:03:42,2026-08-01T10:58:27
161,8,1,SN-0036,2026-08-01T11:04:48,2026-08-01T11:05:20,2026-08-01T11:03:56
162,6,2,SN-0037,2026-08-01T11:14:00,2026-08-01T11:15:08,2026-08-01T11:13:35
163,7,2,SN-0037,2026-08-01T11:17:34,2026-08-01T11:17:57,2026-08-01T11:15:52
164,8,2,SN-0037,2026-08-01T11:20:48,2026-08-01T11:21:12,2026-08-01T11:18:33
165,9,2,SN-0037,2026-08-01T11:23:23,2026-08-01T11:23:44,2026-08-01T11:19:45
166,10,2,SN-0037,2026-08-01T11:24:21,2026-08-01T11:24:51,2026-08-01T11:20:27
167,6,3,SN-0038,2026-08-01T11:27:00,2026-08-01T11:27:29,2026-08-01T11:26:51
168,7,3,SN-0038,2026-08-01T11:30:29,2026-08-01T11:30:50,2026-08-01T11:28:27
169,8,3,SN-0038,2026-08-01T11:32:07,2026-08-01T11:32:41,2026-08-01T11:29:55
170,9,3,SN-0038,2026-08-01T11:34:51,2026-08-01T11:35:42,2026-08-01T11:32:34
171,10,3,SN-0038,2026-08-01T11:38:38,2026-08-01T11:39:30,2026-08-01T11:36:29
172,6,1,SN-0039,2026-08-01T11:40:00,2026-08-01T11:40:29,2026-08-01T11:39:40
173,7,1,SN-0039,2026-08-01T11:43:15,2026-08-01T11:44:17,2026-08-01T11:40:04
174,8,1,SN-0039,2026-08-01T11:47:08,2026-08-01T11:48:09,2026-08-01T11:45:08
175,9,1,SN-0039,2026-08-01T11:49:11,2026-08-01T11:49:51,2026-08-01T11:45:17
176,10,1,SN-0039,2026-08-01T11:51:21,2026-08-01T11:52:22,2026-08-01T11:48:59
177,6,2,SN-0040,2026-08-01T11:51:00,2026-08-01T11:52:05,2026-08-01T11:50:27
178,7,2,SN-0040,2026-08-01T11:52:47,2026-08-01T11:53:36,2026-08-01T11:49:34
179,8,2,SN-0040,2026-08-01T11:54:13,2026-08-01T11:54:57,2026-08-01T11:50:34
180,9,2,SN-0040,2026-08-01T11:56:57,2026-08-01T11:57:33,2026-08-01T11:53:18
181,11,3,SN-0041,2026-08-01T08:03:00,2026-08-01T08:03:43,2026-08-01T08:02:29
182,12,3,SN-0041,2026-08-01T08:05:14,2026-08-01T08:06:02,2026-08-01T08:00:42
183,13,3,SN-0041,2026-08-01T08:07:53,2026-08-01T08:08:54,2026-08-01T08:04:42
184,14,3,SN-0041,2026-08-01T08:09:46,2026-08-01T08:10:15,2026-08-01T08:06:08
185,15,3,SN-0041,2026-08-01T08:11:04,2026-08-01T08:12:10,2026-08-01T08:08:11
186,11,1,SN-0042,2026-08-01T08:12:00,2026-08-01T08:12:51,2026-08-01T08:11:46
187,12,1,SN-0042,2026-08-01T08:13:27,2026-08-01T08:14:11,2026-08-01T08:09:39
188,13,1,SN-0042,2026-08-01T08:15:56,2026-08-01T08:16:27,2026-08-01T08:12:48
189,11,2,SN-0043,2026-08-01T08:24:00,2026-08-01T08:25:10,2026-08-01T08:23:21
190,12,2,SN-0043,2026-08-01T08:25:57,2026-08-01T08:27:03,2026-08-01T08:24:37
191,13,2,SN-0043,2026-08-01T08:29:23,2026-08-01T08:29:58,2026-08-01T08:24:40
192,14,2,SN-0043,2026-08-01T08:31:28,2026-08-01T08:32:31,2026-08-01T08:26:59
193,15,2,SN-0043,2026-08-01T08:33:39,2026-08-01T08:34:39,2026-08-01T08:31:48
194,11,3,SN-0044,2026-08-01T08:40:00,2026-08-01T08:40:44,2026-08-01T08:39:48
195,12,3,SN-0044,2026-08-01T08:43:37,2026-08-01T08:44:33,2026-08-01T08:39:46
196,11,1,SN-0045,2026-08-01T08:49:00,2026-08-01T08:50:10,2026-08-01T08:48:45
197,12,1,SN-0045,2026-08-01T08:52:28,2026-08-01T08:53:37,2026-08-01T08:51:11
198,13,1,SN-0045,2026-08-01T08:56:35,2026-08-01T08:57:28,2026-08-01T08:55:33
199,14,1,SN-0045,2026-08-01T08:59:40,2026-08-01T09:00:30,2026-08-01T08:56:46
200,15,1,SN-0045,2026-08-01T09:01:09,2026-08-01T09:02:08,2026-08-01T08:56:24
201,11,2,SN-0046,2026-08-01T09:00:00,2026-08-01T09:00:43,2026-08-01T08:59:36
202,12,2,SN-0046,2026-08-01T09:03:03,2026-08-01T09:04:09,2026-08-01T09:01:24
203,13,2,SN-0046,2026-08-01T09:05:05,2026-08-01T09:05:44,2026-08-01T09:01:53
204,14,2,SN-0046,2026-08-01T09:07:07,2026-08-01T09:07:32,2026-08-01T09:06:12
205,15,2,SN-0046,2026-08-01T09:09:12,2026-08-01T09:09:52,2026-08-01T09:07:34
206,11,3,SN-0047,2026-08-01T09:15:00,2026-08-01T09:15:30,2026-08-01T09:14:25
207,12,3,SN-0047,2026-08-01T09:17:27,2026-08-01T09:18:36,2026-08-01T09:15:56
208,13,3,SN-0047,2026-08-01T09:21:17,2026-08-01T09:21:48,2026-08-01T09:20:10
209,14,3,SN-0047,2026-08-01T09:22:34,2026-08-01T09:23:29,2026-08-01T09:18:20
210,15,3,SN-0047,2026-08-01T09:26:05,2026-08-01T09:26:29,2026-08-01T09:23:11
211,11,1,SN-0048,2026-08-01T09:27:00,2026-08-01T09:27:34,2026-08-01T09:26:12
212,12,1,SN-0048,2026-08-01T09:28:56,2026-08-01T09:29:32,2026-08-01T09:25:09
213,13,1,SN-0048,2026-08-01T09:30:04,2026-08-01T09:30:41,2026-08-01T09:27:54
214,14,1,SN-0048,2026-08-01T09:33:15,2026-08-01T09:34:19,2026-08-01T09:30:10
215,11,2,SN-0049,2026-08-01T09:37:00,2026-08-01T09:37:21,2026-08-01T09:36:54
216,12,2,SN-0049,2026-08-01T09:38:07,2026-08-01T09:39:04,2026-08-01T09:34:42
217,13,2,SN-0049,2026-08-01T09:41:12,2026-08-01T09:41:35,2026-08-01T09:39:42
218,14,2,SN-0049,2026-08-01T09:43:17,2026-08-01T09:44:03,2026-08-01T09:39:16
219,15,2,SN-0049,2026-08-01T09:44:55,2026-08-01T09:45:39,2026-08-01T09:41:57
220,11,3,SN-0050,2026-08-01T09:50:00,2026-08-01T09:50:27,2026-08-01T09:49:14
221,12,3,SN-0050,2026-08-01T09:52:46,2026-08-01T09:53:54,2026-08-01T09:49:00
222,13,3,SN-0050,2026-08-01T09:56:08,2026-08-01T09:56:45,2026-08-01T09:53:30
223,14,3,SN-0050,2026-08-01T09:58:33,2026-08-01T09:59:04,2026-08-01T09:55:22
224,15,3,SN-0050,2026-08-01T10:00:35,2026-08-01T10:01:45,2026-08-01T09:57:10
225,11,1,SN-0051,2026-08-01T10:01:00,2026-08-01T10:02:00,2026-08-01T10:00:10
226,12,1,SN-0051,2026-08-01T10:04:58,2026-08-01T10:05:58,2026-08-01T10:03:07
227,13,1,SN-0051,2026-08-01T10:06:39,2026-08-01T10:07:30,2026-08-01T10:05:51
228,11,2,SN-0052,2026-08-01T10:14:00,2026-08-01T10:14:49,2026-08-01T10:13:25
229,12,2,SN-0052,2026-08-01T10:17:19,2026-08-01T10:18:10,2026-08-01T10:14:17
230,13,2,SN-0052,2026-08-01T10:19:24,2026-08-01T10:20:05,2026-08-01T10:14:48
231,11,3,SN-0053,2026-08-01T10:25:00,2026-08-01T10:25:36,2026-08-01T10:24:12
232,12,3,SN-0053,2026-08-01T10:26:46,2026-08-01T10:27:12,2026-08-01T10:24:23
233,13,3,SN-0053,2026-08-01T10:28:53,2026-08-01T10:29:54,2026-08-01T10:26:13
234,14,3,SN-0053,2026-08-01T10:32:35,2026-08-01T10:33:10,2026-08-01T10:30:41
235,15,3,SN-0053,2026-08-01T10:33:58,2026-08-01T10:34:56,2026-08-01T10:29:12
236,11,1,SN-0054,2026-08-01T10:40:00,2026-08-01T10:40:54,2026-08-01T10:39:49
237,12,1,SN-0054,2026-08-01T10:43:38,2026-08-01T10:44:20,2026-08-01T10:39:15
238,13,1,SN-0054,2026-08-01T10:46:49,2026-08-01T10:47:54,2026-08-01T10:41:55
239,14,1,SN-0054,2026-08-01T10:49:29,2026-08-01T10:50:39,2026-08-01T10:45:11
240,11,2,SN-0055,2026-08-01T10:50:00,2026-08-01T10:50:34,2026-08-01T10:49:02
241,12,2,SN-0055,2026-08-01T10:52:16,2026-08-01T10:53:00,2026-08-01T10:50:49
242,13,2,SN-0055,2026-08-01T10:54:48,2026-08-01T10:55:17,2026-08-01T10:51:20
243,14,2,SN-0055,2026-08-01T10:56:07,2026-08-01T10:56:39,2026-08-01T10:51:58
244,15,2,SN-0055,2026-08-01T10:59:34,2026-08-01T11:00:06,2026-08-01T10:57:53
245,11,3,SN-0056,2026-08-01T11:03:00,2026-08-01T11:03:34,2026-08-01T11:02:27
246,12,3,SN-0056,2026-08-01T11:05:32,2026-08-01T11:06:04,2026-08-01T11:03:07
247,13,3,SN-0056,2026-08-01T11:07:49,2026-08-01T11:08:53,2026-08-01T11:05:13
248,14,3,SN-0056,2026-08-01T11:11:50,2026-08-01T11:12:29,2026-08-01T11:10:40
249,15,3,SN-0056,2026-08-01T11:15:27,2026-08-01T11:16:11,2026-08-01T11:10:34
250,11,1,SN-0057,2026-08-01T11:15:00,2026-08-01T11:15:21,2026-08-01T11:14:47
251,12,1,SN-0057,2026-08-01T11:16:32,2026-08-01T11:17:15,2026-08-01T11:15:46
252,13,1,SN-0057,2026-08-01T11:18:25,2026-08-01T11:19:18,2026-08-01T11:17:53
253,14,1,SN-0057,2026-08-01T11:22:15,2026-08-01T11:23:07,2026-08-01T11:18:56
254,15,1,SN-0057,2026-08-01T11:25:53,2026-08-01T11:26:40,2026-08-01T11:22:33
255,11,2,SN-0058,2026-08-01T11:25:00,2026-08-01T11:25:48,2026-08-01T11:24:44
256,12,2,SN-0058,2026-08-01T11:27:53,2026-08-01T11:28:30,2026-08-01T11:23:28
257,13,2,SN-0058,2026-08-01T11:30:09,2026-08-01T11:31:00,2026-08-01T11:29:36
258,14,2,SN-0058,2026-08-01T11:32:05,2026-08-01T11:32:32,2026-08-01T11:31:28
259,15,2,SN-0058,2026-08-01T11:34:43,2026-08-01T11:35:36,2026-08-01T11:32:57
260,11,3,SN-0059,2026-08-01T11:38:00,2026-08-01T11:38:32,2026-08-01T11:37:40
261,12,3,SN-0059,2026-08-01T11:40:58,2026-08-01T11:41:27,2026-08-01T11:39:26
262,13,3,SN-0059,2026-08-01T11:42:32,2026-08-01T11:43:39,2026-08-01T11:41:00
263,14,3,SN-0059,2026-08-01T11:45:16,2026-08-01T11:46:20,2026-08-01T11:43:39
264,15,3,SN-0059,2026-08-01T11:48:15,2026-08-01T11:48:57,2026-08-01T11:44:23
265,11,1,SN-0060,2026-08-01T11:48:00,2026-08-01T11:48:41,2026-08-01T11:47:24
266,12,1,SN-0060,2026-08-01T11:49:14,2026-08-01T11:49:53,2026-08-01T11:48:03
267,13,1,SN-0060,2026-08-01T11:52:07,2026-08-01T11:53:00,2026-08-01T11:49:34
268,14,1,SN-0060,2026-08-01T11:55:34,2026-08-01T11:56:00,2026-08-01T11:52:12
269,15,1,SN-0060,2026-08-01T11:57:20,2026-08-01T11:57:56,2026-08-01T11:55:15
270,16,2,SN-0061,2026-08-01T08:00:00,2026-08-01T08:00:39,2026-08-01T07:59:40
271,17,2,SN-0061,2026-08-01T08:02:42,2026-08-01T08:03:08,2026-08-01T08:00:45
272,18,2,SN-0061,2026-08-01T08:06:04,2026-08-01T08:07:00,2026-08-01T08:05:06
